"index","mzmed","rtmed","matched","qSvsMB","qSvsNC","modelPredicted","predictVal","MB_0","MB_1","MB_2.5","MB_4.5","MB_6.5","MB_8.5","MB_26.5","NC_0","NC_1","NC_2.5","NC_4.5","NC_6.5","NC_8.5","NC_26.5","S1_0","S1_1","S1_2.5","S1_4.5","S1_6.5","S1_8.5","S1_26.5","S2_0","S2_1","S2_2.5","S2_4.5","S2_6.5","S2_8.5","S2_26.5","S3_0","S3_1","S3_2.5","S3_4.5","S3_6.5","S3_8.5","S3_26.5"
"44",261,137.05959,482.876,0,0.0178341686776542,0.00731158872156964,FALSE,1,0,0,0,0,0,0,0,4.99,2.24,0,0,0,0,0,2.43,0,0,2282.96,5291.51,5039.85,6426.67,3.36,0,0,2639.06,5232.29,5386.34,5950.43,5.92,0,0,1274.79,4832.64,5191.24,6331.26
"45",272,138.01847,120.0775,0,0.23528839030703,0.0542951836523276,FALSE,1,0,58.63,90.84,201.01,437.54,396.73,702.51,304.65,362.62,585.44,448.41,0,690.05,690.05,210.35,219.44,457.9,1550.63,1368.85,1171.75,1658.19,197.69,202.25,779.61,1037.09,2535.03,1701.9,1387.17,275.1,71.64,332.36,2217.5,2003.41,1646.13,1849.68
"46",293,139.91455,1364.6,0,0.754683721083241,0.745241119100344,FALSE,1,105.58,550.87,752.29,1533.33,1403.79,1287.63,564.76,134.49,510.62,765.47,1604.18,1384.55,1557.91,1557.91,116.61,718,871.03,1582.5,963.71,1886.7,1546.32,90.06,286.33,897.13,1551.09,1358.14,960.38,1608.58,101.7,224.4,634.4,1739.1,1695.09,1258.43,1231.54
"47",297,140.96373,127.203,0,0.229952392198935,0.039997076135488,FALSE,1,0,45.48,270.52,234.38,89.26,60.52,0,567.19,1060.63,1156.32,1622.54,1928.36,1175.91,1175.91,1569.9,2030.75,1222.58,352.81,357.79,135.43,608.35,767.18,1192.5,898.72,197.86,278.56,212.05,59.93,565.88,1496.8,1017.62,373.87,201.94,267.25,165.37
"48",317,142.995,1353.165,0,0.744935240913824,0.738194176321384,FALSE,1,552.66,931.94,2030.61,3030.67,3021.35,6916.08,1473.73,248.38,617.32,3615.93,3030.03,2795,3210.48,3210.48,270.96,902.01,1500.05,2141.1,2909.86,2975.1,2582.45,297.19,358.48,2160.04,2754,3019.25,2954.26,4641.74,258.48,942.08,4498.61,3158.84,3355.91,4745.36,2809.87
"49",326,143.10625,983.725,0,0.638970878806124,0.531001115099881,FALSE,1,127.23,343.17,299.51,1392.4,1408.94,1433.48,1328.32,305.9,312.65,434.19,859.9,436.88,604.82,604.82,416.52,353.96,256.2,1147.86,489.02,941.99,1486.55,360.99,356.96,653.14,1060.9,622.07,386.47,776.2,302.9,302.92,932.8,1286.73,716.44,1215.99,1139.56
"50",338,143.67729,877.64,0,0.41540111795941,0.316302223500822,FALSE,1,0,0,0,0,0,0,0,596.25,563.19,790.23,1105.08,823.03,289.4,289.4,458.99,921.15,1396.87,419.61,0,0,0,624.03,1406.49,1183.65,190.93,0,0,0,655.42,823.16,888.66,364.46,0,0,0
"51",347,143.93433,1373.09,0,0.47037599038511,0.258535568970629,FALSE,1,191.52,613.98,2299.82,1522.71,3445.65,1743.5,0,157.12,436.78,1012.8,1202.39,1097.77,743.68,743.68,130.54,0,1380.98,1449.34,1586.54,0,2006.69,103.93,285.37,0,2143.72,1941.26,1623.16,1570.58,121.83,465.49,0,1028.07,0,1639.97,1438.78
"52",349,143.97043,984.115,0,0.328047956456002,0.376377384812107,FALSE,1,14.43,99.57,40.82,361.08,462.83,267.22,335.16,1548.9,1812.1,945.85,1405.29,1058.17,1340.9,1340.9,1795.31,1567.86,1632.34,1411.48,1399.58,1579.56,2067.64,1509.73,1856.59,1309.73,1611.84,1646.05,1710.69,2169.22,1496.55,1724.24,1386.74,1566.8,1510.44,1718.17,1852.09
"53",359,144.06546,132.0175,0,0.596104531885136,0.00332612126940499,FALSE,1,36.11,95.02,317.02,1733.44,2589.17,4181.32,635.67,1240.38,1397.23,1539.64,1981.82,2099.32,2019.73,2019.73,1195.23,1358.86,1743.09,2598.72,3724.44,3526.84,293.24,1228.81,1298.26,1472.9,2520.8,3329.38,3447.89,540.72,1176.05,1543.23,1572.12,2190.36,2828.06,3159.08,847.65
"54",373,144.92233,1379.05,0,0.401549551067981,0.490065785364786,FALSE,1,820.13,0,6024.05,8135.44,8513.59,7662.92,0,551.25,1687.56,3907.41,5422.17,5079.22,4762.65,4762.65,667.14,0,0,7083.55,7561.42,16975.08,7661.45,0,2155.21,0,0,0,6743.32,6742.76,558.11,1835.87,0,8145.85,0,5069.14,6116.16
"55",510,147.02883,138.184,0,0.131419666590239,0.0102520530891285,FALSE,1,42.46,118.76,473.34,880.63,1054.34,1310.01,996.69,4337.65,5001.56,4704.93,7359.04,7381.56,7932.33,7932.33,7923.09,4800.59,5018.54,4421.89,4861.13,3966.78,4969.41,4622.36,5250.95,4458.2,4587.34,4449.89,4535.36,4698.14,4659.81,5032.42,9635.58,5220.52,4739.49,4713.5,4303.87
"56",517,147.06523,164.441,0,0.0683274422849879,0.0321156806052464,FALSE,1,3.56,5.8,29.56,319.72,482.47,763.5,493.96,1259.44,831.15,2121.16,1079.74,1086.91,1229.85,1229.85,1392.08,831.25,2494.2,2510.89,2492.96,2849.77,3447.39,1288.49,867.15,2087.42,2155.58,2551.98,3617.14,4581.04,1262.51,761.98,2125.97,2388.26,2400.3,3033.53,4042.26
"57",521,147.93713,121.478,0,0.188716657545388,0.371552039141658,FALSE,1,13.43,0,37.32,0,0,0,0,996.71,1302.63,1667.91,409.53,782.28,652.81,652.81,1505.97,1499.49,1258.49,246.52,0,0,0,905.21,2266.72,1345.28,261.64,0,0,103.68,1082.11,1361.39,2255.14,0,0,0,0
"58",549,148.91777,39.1906,0,0.167579238952202,0.696199136045879,FALSE,1,149.03,495.34,1157.27,1791.37,1715.51,1713.51,3512.15,159.29,464.78,1355.52,1880.24,1701.55,1629.22,1629.22,159.75,451.75,927.81,2055.54,1993.38,2238.88,1712.56,153.31,484.4,1183.28,1980.07,1678.11,1757.52,2022.36,151.79,446.57,1016.15,1981.73,1651.06,1745.81,1736.31
"59",582,148.91785,959.663,0,0.731281207455528,0.363633989822453,FALSE,1,434.67,844.78,1825.03,3358.9,3370.86,3249.69,2840.74,133.84,589.18,1165.58,1434.1,1728.17,1257.41,1257.41,152.17,963.11,1586.25,1961.14,2050.81,2289.05,2168.43,183.9,651.96,1057.24,2295.21,2404.75,2072.01,2067.12,118.25,547.21,1365.11,1467.47,1603.55,1823.54,1795.46
"60",591,149.00813,100.44995,0,0.21634095111963,0.298593036921778,FALSE,1,2.23,5.2,18.51,69.42,137.05,104.85,114.13,189.26,11548.86,17308.11,7864.6,7253.71,8148.19,8148.19,192.18,9812.97,16653.42,8684.61,8467.34,8996.61,21254.1,158.07,9743.32,13000.96,11151.76,8715.75,17257.06,21445.05,174.84,122.2,14227.83,13671.64,12749.37,20701.66,21562.52
"61",596,149.05981,887.405,1,0.702621187178985,0.179847016540023,FALSE,1,2.01,4.25,0,691.62,662.76,650.28,746.96,81.76,115.08,11.44,0,11.91,18.6,18.6,97.2,102.14,9.52,8545.22,10891.9,3510.76,721.43,92.34,116.12,8.82,8688.23,10498.69,4734.42,716.64,101.38,86.43,23.14,7391.9,10425.18,3538.08,698.08
"62",597,149.05985,730.7735,0,0.0794913559105345,0.0379982360809828,FALSE,1,0,0,27.52,47.15,63.28,53.37,85.92,3092.1,3383.12,2733.76,2746.07,2928.36,2913.77,2913.77,3160.23,2960.53,3221,103.26,81.09,26.26,33.34,2774.88,3142.28,2915.29,101.15,47.23,50.26,78.45,3002.82,2869.36,3473.13,97.35,84.54,54.36,43.36
"63",600,149.58974,162.122,0,0.240845503608466,0.00255549730834492,FALSE,1,4.81,0,80.61,0,0,45.85,0,221.35,593.16,542.58,1064.45,1184.05,1416.35,1416.35,254.32,258.53,429.4,0,0,0,0,594.52,330.52,559.51,0,0,0,0,559.19,319.73,563.31,0,0,0,0
"64",606,150.03849,94.0244,0,0.00204087283546855,0.0248427783168971,FALSE,1,17.47,103.54,232.04,1004.26,336.14,730.69,1243.88,647.64,3343.45,3798.01,5090.04,3685.19,4203.16,4203.16,817.8,2882.42,4746.03,6927.44,9412.59,10743.61,7547.04,740.2,3338.92,4336.08,9329.35,8631.09,9815.49,8278.42,660.85,3204.66,5055.83,7754.91,10260.89,8852.42,9574.2
