"index","mzmed","rtmed","matched","qSvsMB","qSvsNC","swipesRight","swipesTotal","MB_0","MB_1","MB_2.5","MB_4.5","MB_6.5","MB_8.5","MB_26.5","NC_0","NC_1","NC_2.5","NC_4.5","NC_6.5","NC_8.5","NC_26.5","S1_0","S1_1","S1_2.5","S1_4.5","S1_6.5","S1_8.5","S1_26.5","S2_0","S2_1","S2_2.5","S2_4.5","S2_6.5","S2_8.5","S2_26.5","S3_0","S3_1","S3_2.5","S3_4.5","S3_6.5","S3_8.5","S3_26.5"
32859,611.1599,724.7825,0,0.13275,0.03978,0,0,1.94,0,0,0,0,0,0,32213.62,40394.39,33406.41,32502.01,32969.83,31965.84,31965.84,34910.06,31965.94,37663.61,14228.04,3308.61,1410.91,0,28319.84,38083.24,35619.39,14704.28,3338.6,1351.4,2910.81,28571.6,34257.47,37644.97,14625.82,3702.25,1788.48,33.16
32860,611.16004,663.476,1,0.02527,0.17211,0,0,0,0,0,0,0,120.69,0,4600.18,5941.65,4461.74,1806.74,4304.49,4599.75,4599.75,5054.16,4272.74,5454.89,3630.25,2018.15,1610.42,384.75,4361.03,5345.95,4544.71,3141.79,2425.67,2193.74,420.24,4618.43,4295.72,4671.75,3433.35,2086.33,1524.64,751.2
32871,611.30526,344.4545,0,0.64953,0.47841,0,0,0,198.34,1372.85,2633.15,4169.18,5026.38,2504.86,0,195.36,1453.59,1760.46,1719.38,4602.62,4602.62,0,200.82,2685.63,3318.44,3959.02,3833.43,2467.34,0,234.5,2060.46,3224.16,2764.41,4020.9,4529.74,0,83.45,1853.98,2133.59,4201.85,3750.85,4772.33
32872,611.30257,705.895,0,0.27988,0.02424,0,0,0,0,0,181.27,864.63,762.78,156.87,0,26.49,0,2276.81,3736.35,5187.01,5187.01,0,0,0,634.13,1205.65,1232.83,1722.51,0,22.77,0,173.16,1042.14,1135.32,2205.42,0,0,0,510.88,1713.74,1006.19,1413.41
32949,612.88094,69.0228,0,0.78649,0.02405,0,0,0,0,78.9,3708.82,4236.93,5601.94,5194.63,0,130.03,2220,1758.26,4136.27,1084.79,1084.79,0,110.21,3321.13,6219.68,7291.59,7126.83,7325.74,0,86.06,1903.41,7522.96,7577.67,9572.1,9293.73,0,36.7,2277.56,7276.41,7679.14,9586.36,9427.04
32954,613.15453,940.575,0,0.0715,0.63952,0,0,0,0,0,0,0,157.07,0,2679.03,2531.18,1268.51,1187.75,1755.55,627.87,627.87,2802.41,2093.67,1099.25,286.93,459.63,373.26,0,2766.06,2782.71,1179.23,771.45,1197.25,690.21,0,2795.65,2413.38,1485.1,1138.89,1435.21,353.93,247.79
32980,613.3728,936.484,0,0.13072,0.1612,0,0,0,0,0,0,167.33,0,0,3089.15,3586.78,6072.93,5172.34,5605.43,4542.63,4542.63,2307.32,3192.51,4883.97,4955.98,4873.16,5217.54,8086.84,2046.79,3736.18,4957.16,4389.93,5277.8,4387.96,6940.13,1966.04,3780.1,5247.92,4934.46,5027.74,6064.33,7581.47
32981,613.3727,876.903,0,0.21597,0.03926,0,0,0,0,0,127.87,0,0,0,2381.05,2879.65,2703.33,2701.23,2467.06,2622.64,2622.64,2313.89,2601.19,2385.68,901.26,0,0,0,1929.77,2715.57,3122.98,1182.56,87.92,114.45,0,2064.68,2923.55,2746.63,634.46,199.02,0,108.54
32982,613.37282,955.656,0,0.02331,0.00794,0,0,0,0,0,0,73.25,0,78.48,1170.85,1456.18,589.8,924.05,841.43,1070.22,1070.22,1190.37,1325.2,1276.71,3317.9,4720.94,4900.51,6426.01,1084.95,1549.3,1658.33,3571.68,4669.86,5003.34,6280.16,994.58,1243.2,728.71,3327.64,4955.46,4005.41,5820.7
33005,614.09215,785.617,0,0.05814,0.32795,0,0,35.94,0,0,0,0,0,0,566.57,966.26,0,0,0,873.17,873.17,747.07,393.5,799.68,0,0,0,0,830.37,778.49,274.08,0,0,0,0,720,483.52,409.14,0,0,0,0
33052,614.87956,68.88055,0,0.67294,0.02021,0,0,0,0,0,717.17,751.67,1463.71,1074.69,0,0,757.36,0,0,0,0,0,0,738.16,1629.6,2717.55,2144.36,2190.71,0,0,133.08,2466.29,3288.85,2031.37,3888.94,0,0,316.16,2635.45,1554.2,2608.45,2499.19
33092,615.38848,920.6155,0,0.02256,0.32969,0,0,0,0,0,0,164.66,0,0,1626.05,1952.31,1599.97,291.39,1338.62,1020.24,1020.24,1922.58,1738.95,1234.09,381.65,179.42,0,0,1331.21,1560.17,1112.82,0,0,0,300.14,1733.88,1773.04,1093.76,189.54,0,0,0
33093,615.38852,1014.4,0,0.09385,0.01879,0,0,0,0,0,0,0,0,0,0,0,0,147.17,0,0,0,15.66,0,0,567.89,2074.65,1679.12,2378.85,16.32,0,0,712.6,2167.51,1396.25,2730.69,0,0,0,1170.21,2363.65,2491.49,1839.38
33115,616.12912,829.604,0,0.74835,0.70036,0,0,0,0,0,1854.69,1186.16,1538.66,1252.19,1513.72,2084.43,1495.38,796.61,325.15,885.85,885.85,3700.53,3923.72,5044.09,2580.35,2482.37,1300.35,2985.89,2363.53,3651.14,3355.09,1282.12,2128.75,3909.49,2104.34,1985.01,2563.8,2914.01,2131.36,980.48,3519.2,1442.63
