"user","polarity","ind","mz","rt","swipe","date"
"Charlie","Pos","14003","343.15371","854.233","Right","2017-10-05 15:24:18"
"Charlie","Pos","37246","720.77651","939.156","Right","2017-10-05 15:24:18"
"Charlie","Pos","34476","647.15705","750.7475","Right","2017-10-05 15:24:18"
"Charlie","Pos","33534","625.17565","750.5795","Right","2017-10-05 15:24:18"
"Charlie","Pos","37125","718.27653","939.359","Right","2017-10-05 15:24:18"
"Charlie","Pos","14216","345.13287","847.837","Right","2017-10-05 15:24:18"
"Charlie","Pos","30927","574.23338","938.345","Up","2017-10-05 15:24:18"
"Charlie","Pos","11104","307.11475","597.43","Right","2017-10-05 15:24:18"
"Charlie","Pos","39940","828.4731","970.5245","Right","2017-10-05 15:24:18"
"Charlie","Pos","40550","864.3578","970.3905","Right","2017-10-05 15:24:18"
"user","polarity","ind","mz","rt","swipe","date"
"Charlie","Pos","24715","479.11786","750.784","Right","2017-10-13 13:40:22"
"Charlie","Pos","22017","442.26936","538.3935","Right","2017-10-13 13:40:22"
"Charlie","Pos","8741","277.10431","525.522","Right","2017-10-13 13:40:22"
"Charlie","Pos","37153","718.77789","939.9485","Right","2017-10-13 13:40:22"
"Charlie","Pos","31769","589.12144","63.052","Up","2017-10-13 13:40:22"
"Charlie","Pos","22930","454.69999","970.2955","Right","2017-10-13 13:40:22"
"Charlie","Pos","23970","468.80067","1111.22","left","2017-10-13 13:40:22"
"Charlie","Pos","22030","442.51174","750.194","left","2017-10-13 13:40:22"
"Charlie","Pos","4618","209.15345","650.1885","Right","2017-10-13 13:40:22"
"Charlie","Pos","10198","295.99736","640.56","Right","2017-10-13 13:40:22"
"Charlie","Pos","6923","249.11153","686.395","Up","2017-10-13 13:40:22"
"Charlie","Pos","29794","554.1301","456.0715","left","2017-10-13 13:40:22"
"Charlie","Pos","22285","446.06483","640.4095","Right","2017-10-13 13:40:22"
"Charlie","Pos","527","133.10116","859.556","Right","2017-10-13 13:40:22"
"Charlie","Pos","24431","475.21347","970.435","Right","2017-10-13 13:40:22"
"Charlie","Pos","9570","288.0551","965.945","Right","2017-10-13 13:40:22"
"Charlie","Pos","15884","365.08391","460.506","Right","2017-10-13 13:40:22"
"Charlie","Pos","9834","291.11985","903.382","Right","2017-10-13 13:40:22"
"Charlie","Pos","25598","491.20254","959.219","Right","2017-10-13 13:40:22"
"Charlie","Pos","13510","337.02361","639.979","Right","2017-10-13 13:40:22"
"Charlie","Pos","848","141.40555","409.844","left","2017-10-13 13:40:22"
"Charlie","Pos","32079","595.16517","750.709","Right","2017-10-13 13:40:22"
"Charlie","Pos","24715","479.11786","750.784","Right","2017-10-13 13:40:22"
"Charlie","Pos","24715","479.11786","750.784","Right","2017-10-13 13:40:22"
"Charlie","Pos","22017","442.26936","538.3935","Right","2017-10-13 13:40:22"
"user","polarity","ind","mz","rt","swipe","date"
"Jef","Pos","189","127.03903","193.165","Up","2017-10-13 13:41:13"
"Jef","Pos","6364","241.06777","673.373","Up","2017-10-13 13:41:13"
"Jef","Pos","9121","281.98165","520.1005","Up","2017-10-13 13:41:13"
"Jef","Pos","29617","551.22692","960.976","Up","2017-10-13 13:41:13"
"Jef","Pos","31892","591.21916","960.957","Up","2017-10-13 13:41:13"
"Jef","Pos","42665","1450.53315","899.4995","Up","2017-10-13 13:41:13"
"Jef","Pos","37127","718.28778","899.4715","Up","2017-10-13 13:41:13"
"Jef","Pos","17489","385.16206","855.902","Up","2017-10-13 13:41:13"
"Jef","Pos","37448","727.27398","899.412","Up","2017-10-13 13:41:13"
"Jef","Pos","37465","727.77556","899.802","Up","2017-10-13 13:41:13"
"Jef","Pos","6361","241.03918","867.557","Up","2017-10-13 13:41:13"
"Jef","Pos","42646","1419.60272","899.412","Up","2017-10-13 13:41:13"
"Jef","Pos","14004","343.15335","798.7345","Up","2017-10-13 13:41:13"
"Jef","Pos","19703","413.15659","901.027","Up","2017-10-13 13:41:13"
"Jef","Pos","42642","1414.64793","898.538","Up","2017-10-13 13:41:13"
"Jef","Pos","7656","261.02225","72.1468","Up","2017-10-13 13:41:13"
"Jef","Pos","3879","196.06024","463.9285","Up","2017-10-13 13:41:13"
"Jef","Pos","9569","288.0532","261.312","Up","2017-10-13 13:41:13"
"Jef","Pos","6130","236.11247","672.8525","Up","2017-10-13 13:41:13"
"Jef","Pos","12512","325.14283","798.884","Up","2017-10-13 13:41:13"
"Jef","Pos","42633","1403.60847","939.484","Up","2017-10-13 13:41:13"
"Jef","Pos","7217","254.0476","628.884","Up","2017-10-13 13:41:13"
"Jef","Pos","37155","718.78959","899.1765","Up","2017-10-13 13:41:13"
"Jef","Pos","42659","1434.53828","939.484","Up","2017-10-13 13:41:13"
"Jef","Pos","42630","1398.6533","939.3685","Up","2017-10-13 13:41:13"
"Jef","Pos","652","137.05965","853.629","Up","2017-10-13 13:41:13"
"Jef","Pos","42624","1381.62667","939.3085","Up","2017-10-13 13:41:13"
"user","polarity","ind","mz","rt","swipe","date"
"Jef","Pos","189","127.03903","193.165","Up","2017-10-13 13:49:59"
"Jef","Pos","6364","241.06777","673.373","Up","2017-10-13 13:49:59"
"Jef","Pos","9121","281.98165","520.1005","Up","2017-10-13 13:49:59"
"Jef","Pos","29617","551.22692","960.976","Up","2017-10-13 13:49:59"
"Jef","Pos","31892","591.21916","960.957","Up","2017-10-13 13:49:59"
"Jef","Pos","42665","1450.53315","899.4995","Up","2017-10-13 13:49:59"
"Jef","Pos","37127","718.28778","899.4715","Up","2017-10-13 13:49:59"
"Jef","Pos","17489","385.16206","855.902","Up","2017-10-13 13:49:59"
"Jef","Pos","37448","727.27398","899.412","Up","2017-10-13 13:49:59"
"Jef","Pos","37465","727.77556","899.802","Up","2017-10-13 13:49:59"
"Jef","Pos","6361","241.03918","867.557","Up","2017-10-13 13:49:59"
"Jef","Pos","42646","1419.60272","899.412","Up","2017-10-13 13:49:59"
"Jef","Pos","14004","343.15335","798.7345","Up","2017-10-13 13:49:59"
"Jef","Pos","19703","413.15659","901.027","Up","2017-10-13 13:49:59"
"Jef","Pos","42642","1414.64793","898.538","Up","2017-10-13 13:49:59"
"Jef","Pos","7656","261.02225","72.1468","Up","2017-10-13 13:49:59"
"Jef","Pos","3879","196.06024","463.9285","Up","2017-10-13 13:49:59"
"Jef","Pos","9569","288.0532","261.312","Up","2017-10-13 13:49:59"
"Jef","Pos","6130","236.11247","672.8525","Up","2017-10-13 13:49:59"
"Jef","Pos","12512","325.14283","798.884","Up","2017-10-13 13:49:59"
"Jef","Pos","42633","1403.60847","939.484","Up","2017-10-13 13:49:59"
"Jef","Pos","7217","254.0476","628.884","Up","2017-10-13 13:49:59"
"Jef","Pos","37155","718.78959","899.1765","Up","2017-10-13 13:49:59"
"Jef","Pos","42659","1434.53828","939.484","Up","2017-10-13 13:49:59"
"Jef","Pos","42630","1398.6533","939.3685","Up","2017-10-13 13:49:59"
"Jef","Pos","652","137.05965","853.629","Up","2017-10-13 13:49:59"
"Jef","Pos","42624","1381.62667","939.3085","Up","2017-10-13 13:49:59"
"user","polarity","ind","mz","rt","swipe","date"
"Jos","Pos","189","127.03903","193.165","left","2017-10-13 13:51:06"
"Jos","Pos","6364","241.06777","673.373","left","2017-10-13 13:51:06"
"Jos","Pos","9121","281.98165","520.1005","left","2017-10-13 13:51:06"
"Jos","Pos","29617","551.22692","960.976","left","2017-10-13 13:51:06"
"user","polarity","ind","mz","rt","swipe","date"
"Jos","Pos","31892","591.21916","960.957","left","2017-10-13 13:51:35"
"Jos","Pos","42665","1450.53315","899.4995","left","2017-10-13 13:51:35"
"Jos","Pos","37127","718.28778","899.4715","left","2017-10-13 13:51:35"
"Jos","Pos","17489","385.16206","855.902","left","2017-10-13 13:51:35"
"user","polarity","ind","mz","rt","swipe","date"
"Jos","Pos","37448","727.27398","899.412","left","2017-10-13 13:52:08"
"Jos","Pos","37465","727.77556","899.802","left","2017-10-13 13:52:08"
"Jos","Pos","6361","241.03918","867.557","left","2017-10-13 13:52:08"
"Jos","Pos","42646","1419.60272","899.412","left","2017-10-13 13:52:08"
"user","polarity","ind","mz","rt","swipe","date"
"Jos","Pos","14004","343.15335","798.7345","left","2017-10-13 13:53:04"
"Jos","Pos","19703","413.15659","901.027","left","2017-10-13 13:53:04"
"Jos","Pos","42642","1414.64793","898.538","left","2017-10-13 13:53:04"
"Jos","Pos","7656","261.02225","72.1468","left","2017-10-13 13:53:04"
"Jos","Pos","3879","196.06024","463.9285","left","2017-10-13 13:53:04"
"Jos","Pos","9569","288.0532","261.312","left","2017-10-13 13:53:04"
"Jos","Pos","6130","236.11247","672.8525","left","2017-10-13 13:53:04"
"Jos","Pos","12512","325.14283","798.884","left","2017-10-13 13:53:04"
"Jos","Pos","42633","1403.60847","939.484","left","2017-10-13 13:53:04"
"user","polarity","ind","mz","rt","swipe","date"
"Jos","Pos","7217","254.0476","628.884","left","2017-10-13 13:54:52"
"Jos","Pos","37155","718.78959","899.1765","left","2017-10-13 13:54:52"
"Jos","Pos","42659","1434.53828","939.484","left","2017-10-13 13:54:52"
"Jos","Pos","42630","1398.6533","939.3685","left","2017-10-13 13:54:52"
"user","polarity","ind","mz","rt","swipe","date"
"Jos","Pos","652","137.05965","853.629","Right","2017-10-16 13:36:37"
"user","polarity","ind","mz","rt","swipe","date"
"Jos","Pos","42624","1381.62667","939.3085","Right","2017-10-16 13:46:25"
"Jos","Pos","36884","710.79186","939.624","Right","2017-10-16 13:46:25"
"Jos","Pos","9595","288.14641","259.9165","Up","2017-10-16 13:46:25"
"Jos","Pos","36864","710.29004","939.9415","Right","2017-10-16 13:46:25"
"user","polarity","ind","mz","rt","swipe","date"
"Jos","Pos","14003","343.15371","854.233","Right","2017-10-16 13:47:28"
"Jos","Pos","37246","720.77651","939.156","Right","2017-10-16 13:47:28"
"Jos","Pos","34476","647.15705","750.7475","Right","2017-10-16 13:47:28"
"Jos","Pos","33534","625.17565","750.5795","Right","2017-10-16 13:47:28"
"user","polarity","ind","mz","rt","swipe","date"
"Jos","Pos","37125","718.27653","939.359","Right","2017-10-16 14:12:34"
"Jos","Pos","14216","345.13287","847.837","Right","2017-10-16 14:12:34"
"Jos","Pos","30927","574.23338","938.345","Up","2017-10-16 14:12:34"
"Jos","Pos","11104","307.11475","597.43","Right","2017-10-16 14:12:34"
"user","polarity","ind","mz","rt","swipe","date"
"Jos","Pos","39940","828.4731","970.5245","Right","2017-10-16 14:14:01"
"Jos","Pos","40550","864.3578","970.3905","Right","2017-10-16 14:14:01"
"Jos","Pos","24715","479.11786","750.784","Right","2017-10-16 14:14:01"
"Jos","Pos","22017","442.26936","538.3935","Right","2017-10-16 14:14:01"
"user","polarity","ind","mz","rt","swipe","date"
"Jos","Pos","39940","828.4731","970.5245","Right","2017-10-16 14:15:17"
"Jos","Pos","40550","864.3578","970.3905","Right","2017-10-16 14:15:17"
"Jos","Pos","24715","479.11786","750.784","Right","2017-10-16 14:15:17"
"Jos","Pos","22017","442.26936","538.3935","Right","2017-10-16 14:15:17"
"user","polarity","ind","mz","rt","swipe","date"
"Jos","Pos","39940","828.4731","970.5245","Right","2017-10-16 14:16:22"
"Jos","Pos","40550","864.3578","970.3905","Right","2017-10-16 14:16:22"
"Jos","Pos","24715","479.11786","750.784","Right","2017-10-16 14:16:22"
"Jos","Pos","22017","442.26936","538.3935","Right","2017-10-16 14:16:22"
"user","polarity","ind","mz","rt","swipe","date"
"Jos","Pos","39940","828.4731","970.5245","Right","2017-10-16 14:16:32"
"Jos","Pos","40550","864.3578","970.3905","Right","2017-10-16 14:16:32"
"Jos","Pos","24715","479.11786","750.784","Right","2017-10-16 14:16:32"
"Jos","Pos","22017","442.26936","538.3935","Right","2017-10-16 14:16:32"
"user","polarity","ind","mz","rt","swipe","date"
"Jos","Pos","39940","828.4731","970.5245","Right","2017-10-16 14:18:28"
"Jos","Pos","40550","864.3578","970.3905","Right","2017-10-16 14:18:28"
"Jos","Pos","24715","479.11786","750.784","Right","2017-10-16 14:18:28"
"Jos","Pos","22017","442.26936","538.3935","Right","2017-10-16 14:18:28"
"user","polarity","ind","mz","rt","swipe","date"
"Jos","Pos","39940","828.4731","970.5245","Right","2017-10-16 14:19:19"
"Jos","Pos","40550","864.3578","970.3905","Right","2017-10-16 14:19:19"
"Jos","Pos","24715","479.11786","750.784","Right","2017-10-16 14:19:19"
"Jos","Pos","22017","442.26936","538.3935","Right","2017-10-16 14:19:19"
"user","polarity","ind","mz","rt","swipe","date"
"Jos","Pos","39940","828.4731","970.5245","Right","2017-10-16 14:21:10"
"Jos","Pos","40550","864.3578","970.3905","Right","2017-10-16 14:21:10"
"Jos","Pos","24715","479.11786","750.784","Right","2017-10-16 14:21:10"
"Jos","Pos","22017","442.26936","538.3935","Right","2017-10-16 14:21:10"
"user","polarity","ind","mz","rt","swipe","date"
"Jos","Pos","39940","828.4731","970.5245","Right","2017-10-16 14:23:52"
"Jos","Pos","40550","864.3578","970.3905","Right","2017-10-16 14:23:52"
"Jos","Pos","24715","479.11786","750.784","Right","2017-10-16 14:23:52"
"Jos","Pos","22017","442.26936","538.3935","Right","2017-10-16 14:23:52"
"user","polarity","ind","mz","rt","swipe","date"
"Jos","Pos","39940","828.4731","970.5245","Right","2017-10-16 14:24:24"
